	statename	activity_level	activity_level_label	Latitude	Longitude	year	month	day	mean_prcp	mean_tmax	mean_tmin
55	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	10	3	1.7096774193548387	25.258064516129032	12.193548387096774
56	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	11	21	6.2	21.116666666666667	9.9
57	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	11	14	6.2	21.116666666666667	9.9
58	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	11	7	6.2	21.116666666666667	9.9
59	Alabama	3	Minimal	32.806671	-86.79113000000001	2015	11	28	6.2	21.116666666666667	9.9
60	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	12	12	8.580645161290322	19.467741935483872	8.451612903225806
61	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	12	5	8.580645161290322	19.467741935483872	8.451612903225806
62	Alabama	2	Minimal	32.806671	-86.79113000000001	2015	12	19	8.580645161290322	19.467741935483872	8.451612903225806
63	Alabama	2	Minimal	32.806671	-86.79113000000001	2015	12	26	8.580645161290322	19.467741935483872	8.451612903225806
64	Arizona	1	Minimal	33.729759	-111.431221	2010	10	30	2.193548387096774	24.951612903225808	11.96774193548387
65	Arizona	1	Minimal	33.729759	-111.431221	2010	10	23	2.193548387096774	24.951612903225808	11.96774193548387
66	Arizona	1	Minimal	33.729759	-111.431221	2010	10	16	2.193548387096774	24.951612903225808	11.96774193548387
67	Arizona	1	Minimal	33.729759	-111.431221	2010	10	9	2.193548387096774	24.951612903225808	11.96774193548387
68	Arizona	1	Minimal	33.729759	-111.431221	2010	11	20	0.5	17.6	4.9
69	Arizona	1	Minimal	33.729759	-111.431221	2010	11	27	0.5	17.6	4.9
70	Arizona	1	Minimal	33.729759	-111.431221	2010	11	13	0.5	17.6	4.9
71	Arizona	1	Minimal	33.729759	-111.431221	2010	11	6	0.5	17.6	4.9
72	Arizona	2	Minimal	33.729759	-111.431221	2010	12	4	2.5483870967741935	16.096774193548388	4.758064516129032
73	Arizona	4	Low	33.729759	-111.431221	2010	12	18	2.5483870967741935	16.096774193548388	4.758064516129032
74	Arizona	5	Low	33.729759	-111.431221	2010	12	25	2.5483870967741935	16.096774193548388	4.758064516129032
75	Arizona	5	Low	33.729759	-111.431221	2010	12	11	2.5483870967741935	16.096774193548388	4.758064516129032
76	Arizona	5	Low	33.729759	-111.431221	2015	1	10	4.0	15.241935483870968	3.661290322580645
77	Arizona	5	Low	33.729759	-111.431221	2015	1	3	4.0	15.241935483870968	3.661290322580645
78	Arizona	7	Moderate	33.729759	-111.431221	2015	1	31	4.0	15.241935483870968	3.661290322580645
79	Arizona	7	Moderate	33.729759	-111.431221	2015	1	17	4.0	15.241935483870968	3.661290322580645
80	Arizona	8	High	33.729759	-111.431221	2015	1	24	4.0	15.241935483870968	3.661290322580645
81	Arizona	4	Low	33.729759	-111.431221	2015	2	14	1.1071428571428572	19.267857142857142	6.089285714285714
82	Arizona	4	Low	33.729759	-111.431221	2015	2	28	1.1071428571428572	19.267857142857142	6.089285714285714
